name,brand,price
Apple ,Iphone 8 Plus Display:5.5-inch Retina HD CPU: Apple A11 Bionic Hexa-core Memory: 3GB RAM; 256GB ROM,"₦ 310,000 "
Apple ,"IPhone XS Max (4GB RAM, 256GB ROM) IOS 12 (12MP + 12MP)+7MP - Silver - Dual SIM (nano-SIM)","₦ 560,000 "
Apple ,"IPhone XR (3GB RAM, 128GB ROM) IOS 12 (12MP+7MP) - Red","₦ 280,000 "
Apple ,"Iphone 6S 16GB 4.7"" Inch IOS Smartphone (Refurbished) - Silvery","₦ 52,990 "
Apple ,IPhone 7 4.7 Inch Refurbished Smartphone 32GB - Gold,"₦ 71,050 "
Apple ,Iphone 5 16gb-  White Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),"₦ 18,760 "
Apple ,"Iphone 6S 16GB 4.7"" Inch IOS Smartphone (Refurbished) - Pink","₦ 52,990 "
Apple ,"IPhone XS Max (4GB RAM, 512GB ROM) IOS 12 (12MP + 12MP)+7MP 4G Smartphone - Silver - Space Grey","₦ 430,000 "
Apple ,"IPhone XS Max (4GB RAM, 256GB ROM) IOS 12 (12MP + 12MP)+7MP Silver","₦ 400,000 "
Apple ,"IPhone XS Max (4GB RAM, 256GB ROM) IOS 12 (12MP + 12MP)+7MP 4G Smartphone -  Space Grey","₦ 360,000 "
Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone","₦ 320,000 "
Apple ,IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD-Black,"₦ 197,890 "
Apple ,"IPhone 8 Plus 5.5-Inch HD (3GB,256GB ROM) IOS 11, 12MP + 7MP 4G Smartphone - Silver","₦ 348,000 "
Apple ,IPhone 7 Plus Refurbished Smartphone 32GB - Gold,"₦ 118,038 "
Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM)IOS 11(12MP+12MP)+7MP 4G LTE Smartphone-Grey","₦ 369,000 "
